Processed,Method,URI
true,GET,https://docs.oracle.com/middleware/jet400/jet/
true,GET,https://docs.oracle.com/middleware/jet410/jet/
true,GET,https://docs.oracle.com/en/middleware/jet/5/
true,GET,https://docs.oracle.com/en/middleware/jet/4.2.0/
true,GET,https://docs.oracle.com/en/middleware/jet/6.1/
true,GET,https://docs.oracle.com/en/middleware/jet/5.1/
true,GET,https://docs.oracle.com/en/middleware/jet/5.2/
true,GET,https://docs.oracle.com/en/middleware/jet/6/
true,GET,https://docs.oracle.com/en/middleware/developer-tools/jet/7/
true,GET,https://docs.oracle.com/en/middleware/developer-tools/jet/7.1/
true,GET,https://docs.oracle.com/en/middleware/developer-tools/jet/7.2/
true,GET,https://docs.oracle.com/en/middleware/developer-tools/jet/6.2/
true,GET,https://docs.oracle.com/es/cloud/saas/talent-management/20a/
true,GET,https://docs.oracle.com/en/cloud/saas/social/
true,GET,https://docs.oracle.com/pdf/E16691_04.pdf
true,GET,https://docs.oracle.com/pdf/E17329_03.pdf
true,GET,https://docs.oracle.com/pdf/E16691_06.pdf
true,GET,https://docs.oracle.com/pdf/E24373_01.pdf
true,GET,https://docs.oracle.com/pdf/E24372_01.pdf
true,GET,https://docs.oracle.com/en/cloud/paas/content-cloud/developer
true,GET,https://docs.oracle.com/en/cloud/paas/digital-assistant/tutorial-sales-cx/
true,GET,https://docs.oracle.com/pdf/E17329_04.pdf
true,GET,https://docs.oracle.com/pdf/E16691_05.pdf
true,GET,https://docs.oracle.com/pdf/E24372_02.pdf
true,GET,https://docs.oracle.com/en/industries/health-sciences/site-activate/20.2/
true,GET,https://docs.oracle.com/en/industries/health-sciences/site-activate/20.1/
true,GET,https://docs.oracle.com/en/industries/health-sciences/site-activate/19.4/
true,GET,https://docs.oracle.com/en/industries/health-sciences/site-activate/19.3/
true,GET,https://docs.oracle.com/en/industries/health-sciences/site-activate/19.1/
true,GET,https://docs.oracle.com/en/industries/health-sciences/site-activate/19.2/
true,GET,https://docs.oracle.com/pdf/E23515_04.pdf
true,GET,https://docs.oracle.com/en/industries/health-sciences/site-analyze/20.2/
true,GET,https://docs.oracle.com/pdf/E24373_02.pdf
true,GET,https://docs.oracle.com/en/css/main.css
true,GET,https://docs.oracle.com/en/industries/health-sciences/site-analyze/20.1/
true,GET,https://docs.oracle.com/en/industries/health-sciences/site-analyze/19.4/
true,GET,https://docs.oracle.com/en/industries/health-sciences/site-analyze/19.3/
true,GET,https://docs.oracle.com/sp_common/site-template/bootstrap/css/bootstrap.min.css
true,GET,https://docs.oracle.com/en/database/oracle/machine-learning/omlla/
true,GET,https://docs.oracle.com/en/cloud/paas/autonomous-data-warehouse-cloud/omlss/
true,GET,https://docs.oracle.com/en/industries/health-sciences/site-analyze/19.2/
